Year,Canada,Czech Republic,Denmark,European Union,Finland,Japan,Latvia,Netherlands,Portugal,Switzerland
2015,722241.6834,127925.5302,49733.51455,4309630.199,55559.21284,1324717.744,11319.38996,195245.673,68915.74395,48151.32432
2014,727588.0532,126616.3149,52222.08882,4286478.074,59125.78978,1364040.638,11210.21854,187582.4059,64360.38183,48739.78148
2013,729695.8683,130561.1796,56419.63143,4463660.862,63195.33663,1409037.645,11265.26714,195620.6242,64494.47991,52643.33544
2012,716786.775,134465.7726,54608.84801,4559231.643,62389.34066,1391203.024,11343.79742,195443.121,66398.85432,51748.32954
2011,707903.6344,137863.5656,59511.26861,4622091.243,67706.40333,1355578.63,11443.23357,200261.3848,68304.28522,50411.8665
2010,701301.1051,139593.2786,64817.08654,4777214.54,75653.9113,1306045.281,12218.07999,214158.1704,69459.49791,54493.47121
2009,689233.1397,137795.6447,64348.99569,4671557.063,67438.00378,1252372.778,11099.68267,202300.0032,73507.01479,52899.37649
2008,729677.9076,146162.0011,67287.98011,5036890.844,71167.86862,1328576.033,11818.94918,207888.4209,76675.45675,54210.82553
2007,750103.7851,150731.4869,70976.38203,5151844.171,79197.4452,1414752.376,12288.33329,208483.5371,79308.61509,52679.55611
2006,729570.4398,149308.8817,75592.65135,5200986.92,80751.26984,1379939.061,11831.54041,209372.9243,81575.23711,54613.74275
2005,738857.3442,147612.8756,67870.85136,5213531.797,69577.92821,1398823.623,11312.30097,214353.4595,86308.17271,54985.99728
2004,751237.4538,149560.4051,72315.22515,5251844.605,81489.73395,1391488.489,11102.23737,219152.2405,84377.31199,54376.61055
2003,749372.5235,148737.6525,78448.82482,5251108.825,85264.71725,1394989.953,11113.03991,218015.2755,81157.17074,53739.53888
2002,730686.9349,145430.0989,73389.5082,5167577.062,77767.72056,1392383.176,10943.43691,217834.1638,86277.84805,52536.15689
2001,728248.1598,148992.741,73877.8894,5210536.566,75360.32988,1360938.949,10961.14365,219937.0312,82101.26525,54136.14675
2000,738817.4569,149380.1462,72187.25273,5154942.796,70002.54638,1389104.966,10362.80779,219714.1813,82502.36999,52552.98075
1999,717137.7955,140163.0956,76510.04044,5145973.237,71879.15143,1370262.103,10934.18512,221559.8973,83627.00086,53302.66284
1998,704439.5247,149360.6475,79026.13716,5258647.812,72508.81237,1348350.658,11722.70758,234886.6447,75714.32231,53570.43328
1997,697653.3033,155435.5451,83060.42508,5304023.633,76179.85158,1392501.651,12226.40185,234896.0825,70919.86244,51975.24376
1996,682494.2489,159170.9093,92589.94326,5404303.571,77595.74016,1395687.309,12788.09125,242587.3107,67655.79098,53241.72531
1995,662012.7528,157052.7813,79416.38491,5295221.433,71805.38393,1382327.172,12731.78695,231514.3688,70034.66261,52524.77313
1994,645083.2161,156649.8926,82369.06368,5246419.625,75358.37638,1360095.991,14144.94234,234808.4946,65508.60933,51667.04466
1993,623818.1096,164528.8587,78516.7103,5268775.176,69856.83953,1289308.186,16039.45601,231167.7801,64453.96064,52690.79027
1992,622240.8667,172382.7973,76351.94884,5368879.641,67622.84052,1296863.387,19454.79709,229870.0532,65746.52046,55367.9478
1991,604922.057,179160.2159,82370.43392,5546032.771,69058.68061,1284040.259,24217.00264,229236.3049,61365.25208,55681.3445
1990,611710.0518,197948.8214,71709.734,5647079.759,71290.64129,1273560.515,26184.86075,221416.6989,59584.25509,53768.55825
