CARRIER_NAME,OP_UNIQUE_CARRIER,COUNT,DEP_DELAY_NEW,ARR_DELAY_NEW,DEP_DELAY_AVG,ARR_DELAY_AVG
Endeavor Air,9E,1586680,16534669,19382912,10.42,12.22
American Airlines,AA,10131765,128112993,150005584,12.64,14.81
Alaska Airlines,AS,2388789,28787769,31099709,12.05,13.02
JetBlue Airways,B6,1935325,29274720,34074338,15.13,17.61
Continental Air,CO,4792226,56318736,68273216,11.75,14.25
Independence Air,DH,690778,8709567,9653740,12.61,13.98
Delta Air,DL,8861885,84176949,104763335,9.50,11.82
ExpressJet Airlines,EV,3450674,55319314,58792048,16.03,17.04
Frontier Airlines,F9,917680,8126310,9553933,8.86,10.41
AirTran Airways,FL,2814058,34940027,40215104,12.42,14.29
Hawaiian Airlines,HA,627905,2079042,2792543,3.31,4.45
America West,HP,1198788,11909176,13630486,9.93,11.37
Aloha Air,KH,326667,1356071,1463557,4.15,4.48
Envoy Air,MQ,7141023,90082994,104123641,12.61,14.58
Spirit Air,NK,8089,155049,172220,19.17,21.29
Northwest Airlines,NW,6649073,62333159,82099413,9.37,12.35
PSA Airlines,OH,2903270,34004065,41492055,11.71,14.29
SkyWest Airlines,OO,6614089,67596451,76932780,10.22,11.63
Trans World,TW,504678,4560800,5547882,9.04,10.99
ATA Airlines,TZ,249054,2552363,3530743,10.25,14.18
United Air,UA,8004536,108362784,123185934,13.54,15.39
US Airways,US,7563126,75562864,90383547,9.99,11.95
Virgin America,VX,4223,61630,62954,14.59,14.91
Southwest Airlines,WN,16382453,173467780,162373744,10.59,9.91
ExpressJet Airlines,XE,4891604,62110880,74698787,12.70,15.27
Mesa Airlines,YV,2576176,39133204,41897504,15.19,16.26
